_id,dataNotificacao,cnes,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,origem,_p_usuario,estadoNotificacao,municipioNotificacao,estado,municipio,excluido,validado,_created_at,_updated_at
FAo435YMHW,2020-06-05T03:00:00.000Z,2363070,49.0,24.0,49.0,24.0,0.0,0.0,1.0,0.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-09T10:34:44.955Z,2020-08-01T05:33:46.361Z
O0xSnWCal1,2020-06-06T03:00:00.000Z,2363070,56.0,26.0,56.0,26.0,0.0,0.0,1.0,1.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-09T10:35:29.613Z,2020-08-01T05:14:28.457Z
qRr06iG7TH,2020-06-07T03:00:00.000Z,2363070,64.0,25.0,64.0,25.0,0.0,0.0,2.0,3.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-09T10:36:37.706Z,2020-08-01T04:58:21.420Z
Q9EZPHgeWT,2020-06-08T03:00:00.000Z,2363070,62.0,25.0,62.0,25.0,0.0,0.0,1.0,4.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-09T10:37:21.115Z,2020-08-01T04:45:49.175Z
zxvRnBCr00,2020-06-09T03:00:00.000Z,2363070.0,84.0,50.0,66.0,26.0,0.0,0.0,1.0,3.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-13T18:46:24.254Z,2020-08-01T04:26:37.050Z
zJhLwznPw0,2020-06-10T03:00:00.000Z,2363070.0,84.0,50.0,60.0,26.0,0.0,1.0,3.0,3.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-13T18:49:49.238Z,2020-08-01T04:07:13.301Z
Z7JYbiOhkM,2020-06-11T03:00:00.000Z,2363070.0,84.0,50.0,66.0,26.0,0.0,0.0,0.0,2.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-13T18:50:51.187Z,2020-08-01T03:46:46.838Z
LU3lbSnjIy,2020-06-12T03:00:00.000Z,2363070.0,84.0,66.0,67.0,29.0,0.0,1.0,1.0,1.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-13T18:52:45.646Z,2020-08-01T03:30:52.965Z
TrXgO1tHAg,2020-06-13T18:56:49.265Z,2363070.0,84.0,50.0,60.0,26.0,0.0,0.0,0.0,3.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-13T18:57:19.045Z,2020-08-01T02:59:49.074Z
6jUMxcHiua,2020-05-31T03:00:00.000Z,2363070.0,84.0,50.0,43.0,32.0,0.0,0.0,1.0,0.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-13T19:01:14.761Z,2020-08-01T07:03:50.646Z
0ukW4ABacR,2020-06-18T03:00:00.000Z,2363070.0,32.0,24.0,32.0,24.0,0.0,0.0,1.0,0.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-18T14:05:09.766Z,2020-08-01T01:49:02.917Z
mF7OK4V4GV,2020-06-18T03:00:00.000Z,2676060.0,4.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,parse-cloud,_User$kRNWfl1OoO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-18T15:22:49.752Z,2020-08-01T01:49:00.550Z
njxrm9oBHG,2020-06-18T18:31:26.207Z,7113692.0,13.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,parse-cloud,_User$FmQ1yI4y2X,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-18T18:37:29.696Z,2020-08-01T01:34:55.009Z
8pxPcFPFrh,2020-06-19T12:57:47.172Z,2362287.0,62.0,8.0,7.0,4.0,0.0,4.0,1.0,14.0,parse-cloud,_User$HxPoAaK6BU,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-19T13:00:14.765Z,2020-08-01T01:21:54.478Z
97ZF0G5uAA,2020-06-19T13:53:49.954Z,2363070.0,30.0,25.0,30.0,25.0,0.0,0.0,3.0,0.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-19T13:54:45.120Z,2020-08-01T01:20:30.101Z
